
=== wind_onshore_DE_NATIONAL  (prognostizierte_erzeugung_onshore) ===
month      mode           n   EMA MAE   our MAE  ratio  EMA RMSE  our RMSE
2022-01    hindcast     408      1613      2151   1.33      2191      2676
2022-02    hindcast     672      2081      2507   1.20      2625      3067
2022-03    hindcast     744      1814      2228   1.23      2277      2928
2022-04    hindcast     720      1814      1988   1.10      2329      2730
2022-05    hindcast     744      1863      1894   1.02      2504      2604
2022-06    hindcast     720      1584      1568   0.99      2104      1988
2022-07    hindcast     744      1508      1379   0.91      1875      1738
2022-08    hindcast     744      1263      1380   1.09      1564      1702
2022-09    hindcast     720      1618      1882   1.16      2069      2357
2022-10    hindcast     744      1613      1778   1.10      2078      2425
2022-11    hindcast     720      2540      2204   0.87      3105      2829
2022-12    hindcast     744      3009      2416   0.80      3697      3015
2023-01    hindcast     744      2303      2607   1.13      3041      3360
2023-02    hindcast     672      1713      2523   1.47      2247      3152
2023-03    hindcast     744      2182      2212   1.01      2799      2882
2023-04    hindcast     720      1893      1947   1.03      2367      2400
2023-05    hindcast     744      1398      1820   1.30      1815      2426
2023-06    hindcast     720      1364      1486   1.09      1718      1970
2023-07    hindcast     744      1749      1863   1.06      2335      2536
2023-08    hindcast     744      1683      1551   0.92      2356      2050
2023-09    hindcast     720      1578      1534   0.97      2053      2131
2023-10    hindcast     744      2142      2708   1.26      2719      3389
2023-11    hindcast     720      2087      2593   1.24      2618      3196
2023-12    hindcast     744      1862      2393   1.29      2402      3002
2024-01    hindcast     744      2641      2438   0.92      3297      2994
2024-02    hindcast     696      2097      2618   1.25      2604      3256
2024-03    hindcast     744      2045      2607   1.27      2614      3162
2024-04    hindcast     720      2114      2630   1.24      2773      3333
2024-05    hindcast     744      1005      1886   1.88      1289      2358 ← we 50%+ worse
2024-06    hindcast     720       960      1695   1.77      1232      2320 ← we 50%+ worse
2024-07    hindcast     744      1058      1575   1.49      1310      1997
2024-08    hindcast     744       932      1414   1.52      1201      1946 ← we 50%+ worse
2024-09    hindcast     720      1135      2180   1.92      1407      2694 ← we 50%+ worse
2024-10    hindcast     744       987      2189   2.22      1268      2814 ← we 50%+ worse
2024-11    hindcast     720      1124      2636   2.35      1494      3466 ← we 50%+ worse
2024-12    hindcast     744      1178      2359   2.00      1565      3127 ← we 50%+ worse
2025-01    BCKTST       576      1597      2310   1.45      2125      2954
2025-02    BCKTST       672      1654      2349   1.42      2108      3212
2025-03    BCKTST       744      1582      2442   1.54      2232      3197 ← we 50%+ worse
2025-04    BCKTST       720      1672      2018   1.21      2184      2747
2025-05    BCKTST       744      1744      1943   1.11      2213      2579
2025-06    BCKTST       720      2123      2192   1.03      2736      2785
2025-07    BCKTST       744      1566      1780   1.14      1941      2161
2025-08    BCKTST       744      1494      1460   0.98      1920      1863
2025-09    BCKTST       720      2055      2847   1.39      2554      3477
2025-10    BCKTST       744      1900      2310   1.22      2459      3019
2025-11    BCKTST       720      1621      2158   1.33      2083      2831
2025-12    BCKTST       744      1888      2905   1.54      2394      3744 ← we 50%+ worse
2026-01    BCKTST       744      2420      3164   1.31      2984      3866
2026-02    BCKTST       672      2801      3805   1.36      3554      4824
2026-03    BCKTST       144      1671      1747   1.05      1969      2270

=== wind_offshore_DE_NATIONAL  (prognostizierte_erzeugung_offshore) ===
month      mode           n   EMA MAE   our MAE  ratio  EMA RMSE  our RMSE
2022-01    hindcast     408       563       544   0.97       718       717
2022-02    hindcast     672       707       520   0.74       886       679
2022-03    hindcast     744       732       396   0.54      1022       571 ← we 30%+ better
2022-04    hindcast     720       692       432   0.62       894       595 ← we 30%+ better
2022-05    hindcast     744       471       397   0.84       611       568
2022-06    hindcast     720       436       384   0.88       603       543
2022-07    hindcast     744       537       415   0.77       705       562
2022-08    hindcast     744       390       339   0.87       574       509
2022-09    hindcast     720       527       446   0.85       687       603
2022-10    hindcast     744       601       458   0.76       762       604
2022-11    hindcast     720       663       600   0.91       884       791
2022-12    hindcast     744       658       544   0.83       819       698
2023-01    hindcast     744       603       654   1.08       779       865
2023-02    hindcast     672       724       508   0.70       946       764
2023-03    hindcast     744       883       647   0.73      1215       865
2023-04    hindcast     720       884       583   0.66      1206       786 ← we 30%+ better
2023-05    hindcast     744       670       489   0.73       980       656
2023-06    hindcast     720       502       375   0.75       705       555
2023-07    hindcast     744       606       465   0.77       811       644
2023-08    hindcast     744       464       382   0.82       714       568
2023-09    hindcast     720       523       523   1.00       766       802
2023-10    hindcast     744       715       619   0.87       944       815
2023-11    hindcast     720       652       687   1.05       862       879
2023-12    hindcast     744       743       620   0.83       970       776
2024-01    hindcast     744       650       513   0.79       814       663
2024-02    hindcast     696       629       576   0.91       803       753
2024-03    hindcast     744       542       504   0.93       708       640
2024-04    hindcast     720       705       724   1.03       947       986
2024-05    hindcast     744       483       605   1.25       677       867
2024-06    hindcast     720       464       479   1.03       699       718
2024-07    hindcast     744       484       511   1.06       655       759
2024-08    hindcast     744       396       436   1.10       535       622
2024-09    hindcast     720       512       661   1.29       746       936
2024-10    hindcast     744       531       541   1.02       755       797
2024-11    hindcast     720       516       610   1.18       666       884
2024-12    hindcast     744       572       689   1.20       786       956
2025-01    BCKTST       576       499       516   1.03       667       725
2025-02    BCKTST       672       478       518   1.08       648       688
2025-03    BCKTST       744       513       475   0.93       721       724
2025-04    BCKTST       720       449       412   0.92       650       591
2025-05    BCKTST       744       565       514   0.91       822       703
2025-06    BCKTST       720       675       619   0.92       909       834
2025-07    BCKTST       744       432       415   0.96       585       575
2025-08    BCKTST       744       421       476   1.13       568       649
2025-09    BCKTST       720       468       569   1.22       623       761
2025-10    BCKTST       744       645       628   0.97       843       835
2025-11    BCKTST       720       577       585   1.01       779       764
2025-12    BCKTST       744       631       635   1.01       809       822
2026-01    BCKTST       744       587       632   1.08       803       795
2026-02    BCKTST       672       637       538   0.84       849       666
2026-03    BCKTST       144       468       430   0.92       605       549

=== solar_DE_NATIONAL  (prognostizierte_erzeugung_photovoltaik) ===
month      mode           n   EMA MAE   our MAE  ratio  EMA RMSE  our RMSE
2022-01    hindcast     408       837       455   0.54      1737       959 ← we 30%+ better
2022-02    hindcast     672      1138       626   0.55      2317      1272 ← we 30%+ better
2022-03    hindcast     744      2835       899   0.32      4865      1709 ← we 30%+ better
2022-04    hindcast     720      2637       856   0.32      4190      1531 ← we 30%+ better
2022-05    hindcast     744      2990      1043   0.35      4444      1767 ← we 30%+ better
2022-06    hindcast     720      2740       989   0.36      3979      1611 ← we 30%+ better
2022-07    hindcast     744      3551      1239   0.35      5165      2003 ← we 30%+ better
2022-08    hindcast     744      2767       948   0.34      4204      1642 ← we 30%+ better
2022-09    hindcast     720      1982       863   0.44      3391      1571 ← we 30%+ better
2022-10    hindcast     744       951       750   0.79      1868      1392
2022-11    hindcast     720       459       414   0.90       991       801
