
=== wind_onshore_DE_NATIONAL  (prognostizierte_erzeugung_onshore) ===
month      mode           n   EMA MAE   our MAE  ratio  EMA RMSE  our RMSE
2022-12    hindcast     744       630       336   0.53      1446       707 ← we 30%+ better
2023-01    hindcast     744       637       316   0.50      1385       655 ← we 30%+ better
2023-02    hindcast     672      1054       606   0.57      2232      1337 ← we 30%+ better
2023-03    hindcast     744      1720       787   0.46      3150      1592 ← we 30%+ better
2023-04    hindcast     720      2015       952   0.47      3411      1707 ← we 30%+ better
2023-05    hindcast     744      2295       808   0.35      3499      1367 ← we 30%+ better
2023-06    hindcast     720      2368       791   0.33      3549      1341 ← we 30%+ better
2023-07    hindcast     744      2406       781   0.32      3630      1308 ← we 30%+ better
2023-08    hindcast     744      2127       867   0.41      3458      1521 ← we 30%+ better
2023-09    hindcast     720      1489       862   0.58      2666      1455 ← we 30%+ better
2023-10    hindcast     744       911       771   0.85      1894      1399
2023-11    hindcast     720       468       416   0.89      1115       801
2023-12    hindcast     744       464       304   0.65      1112       622 ← we 30%+ better
2024-01    hindcast     744       645       530   0.82      1423      1327
2024-02    hindcast     696       550       638   1.16      1157      1391
2024-03    hindcast     744      1157      1066   0.92      2367      2101
2024-04    hindcast     720      1194       939   0.79      2245      1608
2024-05    hindcast     744       598      1040   1.74      1000      1700 ← we 50%+ worse
2024-06    hindcast     720       716      1152   1.61      1212      1861 ← we 50%+ worse
2024-07    hindcast     744       716      1052   1.47      1257      1716
2024-08    hindcast     744       511      1000   1.96       854      1593 ← we 50%+ worse
2024-09    hindcast     720       526       976   1.86       970      1613 ← we 50%+ worse
2024-10    hindcast     744       441       726   1.65       880      1283 ← we 50%+ worse
2024-11    hindcast     720       434       527   1.22       905      1155
2024-12    hindcast     744       281       338   1.21       626       749
2025-01    BCKTST       576       478       656   1.37      1101      1504
2025-02    BCKTST       672       923       998   1.08      1898      2004
2025-03    BCKTST       744      1039      1228   1.18      1999      2358
2025-04    BCKTST       720      1043      1064   1.02      1858      1838
2025-05    BCKTST       744      1080       996   0.92      1813      1647
2025-06    BCKTST       720      1156       976   0.84      2015      1608
2025-07    BCKTST       744      1026      1058   1.03      1779      1896
2025-08    BCKTST       744      1238      1078   0.87      2199      1885
2025-09    BCKTST       720      1089      1152   1.06      2134      2036
2025-10    BCKTST       744       770       868   1.13      1683      1722
2025-11    BCKTST       720       708       640   0.90      1694      1327
2025-12    BCKTST       744       570       517   0.91      1409      1132
2026-01    BCKTST       744       668       692   1.04      1619      1572
2026-02    BCKTST       672       697       711   1.02      1684      1632
2026-03    BCKTST       144      2901      1435   0.49      4992      2583 ← we 30%+ better

=== load_DE_NATIONAL  (prognostizierter_verbrauch_gesamt) ===
month      mode           n   EMA MAE   our MAE  ratio  EMA RMSE  our RMSE
2022-01    hindcast     408      5286      1007   0.19      6668      1377 ← we 30%+ better
2022-02    hindcast     672      3691       951   0.26      4463      1171 ← we 30%+ better
2022-03    hindcast     744      3518       691   0.20      4267       866 ← we 30%+ better
2022-04    hindcast     720      3249      1443   0.44      3984      2022 ← we 30%+ better
2022-05    hindcast     744      3753       989   0.26      4610      1384 ← we 30%+ better
2022-06    hindcast     720      2949       905   0.31      3747      1309 ← we 30%+ better
2022-07    hindcast     744      2684       888   0.33      3580      1100 ← we 30%+ better
2022-08    hindcast     744      1830       722   0.39      2517       897 ← we 30%+ better
2022-09    hindcast     720      1592       747   0.47      2088       937 ← we 30%+ better
2022-10    hindcast     744      1476       955   0.65      2016      1470 ← we 30%+ better
2022-11    hindcast     720      2831       990   0.35      3449      1329 ← we 30%+ better
2022-12    hindcast     744      4063      1845   0.45      5194      2520 ← we 30%+ better
2023-01    hindcast     744      2945      1302   0.44      3746      1626 ← we 30%+ better
2023-02    hindcast     672      2084       781   0.37      2699      1003 ← we 30%+ better
2023-03    hindcast     744      1868       910   0.49      2405      1186 ← we 30%+ better
2023-04    hindcast     720      1812      1308   0.72      2258      1835
2023-05    hindcast     744      1553      1136   0.73      1929      1641
2023-06    hindcast     720      1915       838   0.44      2460      1021 ← we 30%+ better
2023-07    hindcast     744      1427       775   0.54      1812       965 ← we 30%+ better
2023-08    hindcast     744      1391       665   0.48      1745       844 ← we 30%+ better
2023-09    hindcast     720      1425       818   0.57      1814      1019 ← we 30%+ better
2023-10    hindcast     744      1794      1234   0.69      2310      1718 ← we 30%+ better
2023-11    hindcast     720      1935      1155   0.60      2706      1471 ← we 30%+ better
2023-12    hindcast     744      3260      1523   0.47      4460      2118 ← we 30%+ better
2024-01    hindcast     744      3684      1653   0.45      4820      2078 ← we 30%+ better
2024-02    hindcast     696      1670       744   0.45      2201       943 ← we 30%+ better
2024-03    hindcast     744      2006      1009   0.50      2625      1455 ← we 30%+ better
2024-04    hindcast     720      1399       995   0.71      1779      1358
2024-05    hindcast     744      1573      1150   0.73      2158      1604
2024-06    hindcast     720      1309       762   0.58      1653       952 ← we 30%+ better
2024-07    hindcast     744      1186       860   0.72      1467      1131
2024-08    hindcast     744       908       775   0.85      1154       962
2024-09    hindcast     720      1452       911   0.63      1771      1138 ← we 30%+ better
2024-10    hindcast     744      1849       883   0.48      2414      1179 ← we 30%+ better
2024-11    hindcast     720      2047      1249   0.61      2659      1572 ← we 30%+ better
2024-12    hindcast     744      3738      1905   0.51      4985      2834 ← we 30%+ better
2025-01    BCKTST       576      2165      1447   0.67      3277      1964 ← we 30%+ better
2025-02    BCKTST       672      2582       881   0.34      3504      1099 ← we 30%+ better
2025-03    BCKTST       744      1960      1000   0.51      2515      1252 ← we 30%+ better
2025-04    BCKTST       720      1335      1160   0.87      1739      1559
2025-05    BCKTST       744      1119       867   0.77      1421      1206
2025-06    BCKTST       720      1349       923   0.68      1826      1183 ← we 30%+ better
2025-07    BCKTST       744       864       796   0.92      1127       969
2025-08    BCKTST       744      1090       804   0.74      1381       994
2025-09    BCKTST       720      1037       823   0.79      1366      1059
2025-10    BCKTST       744      1444      1149   0.80      1876      1531
2025-11    BCKTST       720      1315      1010   0.77      1713      1279
2025-12    BCKTST       744      1963      1862   0.95      2587      2715
2026-01    BCKTST       744      1447      1875   1.30      1895      2624
2026-02    BCKTST       672      1149      1116   0.97      1472      1369
2026-03    BCKTST       144      2050       761   0.37      2779       976 ← we 30%+ better

=== gen_load_diff_DE_NATIONAL  (_gen_load_diff) ===
month      mode           n   EMA MAE   our MAE  ratio  EMA RMSE  our RMSE
2022-01    hindcast     408      3679      2486   0.68      4419      2973 ← we 30%+ better
2022-02    hindcast     672      3280      2014   0.61      4102      2429 ← we 30%+ better
2022-03    hindcast     744      2844      1975   0.69      3475      2362 ← we 30%+ better
2022-04    hindcast     720      2581      1562   0.60      3151      2031 ← we 30%+ better
2022-05    hindcast     744      3670      2673   0.73      4409      3239
2022-06    hindcast     720      2862      1739   0.61      3525      2387 ← we 30%+ better
2022-07    hindcast     744      5161      2689   0.52      5999      3384 ← we 30%+ better
2022-08    hindcast     744      3015      2131   0.71      3719      2625
2022-09    hindcast     720      3269      1388   0.42      3948      1770 ← we 30%+ better
2022-10    hindcast     744      3009      2667   0.89      3852      3256
2022-11    hindcast     720      3821      2144   0.56      4669      2600 ← we 30%+ better
2022-12    hindcast     744      3769      1753   0.47      4547      2189 ← we 30%+ better
2023-01    hindcast     744      3536      2155   0.61      4412      2679 ← we 30%+ better
2023-02    hindcast     672      5218      2459   0.47      6245      2899 ← we 30%+ better
2023-03    hindcast     744      3262      2639   0.81      4174      3277
2023-04    hindcast     720      2546      2034   0.80      3202      2533
2023-05    hindcast     744      2553      2509   0.98      3233      3012
2023-06    hindcast     720      2791      2315   0.83      3534      2786
2023-07    hindcast     744      2478      2370   0.96      3130      2877
2023-08    hindcast     744      3164      2639   0.83      3857      3197
2023-09    hindcast     720      2175      1562   0.72      2773      1936
2023-10    hindcast     744      3381      2361   0.70      4112      2956 ← we 30%+ better
2023-11    hindcast     720      3320      2527   0.76      4102      3063
2023-12    hindcast     744      3718      2029   0.55      4513      2561 ← we 30%+ better
2024-01    hindcast     744      2879      2274   0.79      3513      2846
2024-02    hindcast     696      2390      2063   0.86      2963      2513
2024-03    hindcast     744      2516      1971   0.78      3145      2488
2024-04    hindcast     720      2880      2030   0.71      3588      2535
2024-05    hindcast     744      2257      1870   0.83      2798      2353
2024-06    hindcast     720      1734      1735   1.00      2181      2209
2024-07    hindcast     744      1945      1712   0.88      2398      2146
2024-08    hindcast     744      1765      1740   0.99      2130      2133
2024-09    hindcast     720      1681      1398   0.83      2131      1792
2024-10    hindcast     744      1988      1565   0.79      2499      2072
2024-11    hindcast     720      2143      1941   0.91      2716      2392
2024-12    hindcast     744      2336      2002   0.86      2819      2483
2025-01    BCKTST       576      2189      1702   0.78      2801      2220
2025-02    BCKTST       672      2579      2146   0.83      3204      2681
2025-03    BCKTST       744      2487      1828   0.74      3140      2340
2025-04    BCKTST       720      2358      1941   0.82      3013      2415
2025-05    BCKTST       744      2122      1591   0.75      2716      1943
2025-06    BCKTST       720      2411      1842   0.76      3080      2288
2025-07    BCKTST       744      1659      1446   0.87      2080      1798
2025-08    BCKTST       744      1787      1631   0.91      2300      2185
2025-09    BCKTST       720      2139      1432   0.67      2682      1792 ← we 30%+ better
2025-10    BCKTST       744      1993      1742   0.87      2496      2216
2025-11    BCKTST       720      2076      1856   0.89      2577      2303
2025-12    BCKTST       744      2266      2219   0.98      2820      2676
2026-01    BCKTST       744      2149      2248   1.05      2818      2723
2026-02    BCKTST       672      2724      1892   0.69      3567      2470 ← we 30%+ better
2026-03    BCKTST       144      3400      1403   0.41      4019      1741 ← we 30%+ better
